Ingredient_Name,Description,Health_Risk_Score,Is_Allergen
"Cellulose","Polymer of glucose found in plant cell walls, used as a bulking agent and fiber supplement",1,FALSE
"Hemicellulose","Heterogeneous polysaccharide found in plant cell walls, used as a dietary fiber",1,FALSE
"Lignin","Complex polymer found in plant cell walls, used as a dietary fiber and in some industrial applications",1,FALSE
"Pectin","Polysaccharide found in fruits and vegetables, used as a gelling agent and thickener",1,FALSE
"Agar","Polysaccharide derived from seaweed, used as a gelling agent and thickener in food",1,FALSE
"Alginate","Polysaccharide derived from seaweed, used as a gelling agent and thickener in food",1,FALSE
"Carrageenan","Polysaccharide extracted from seaweed, used as a thickener and stabilizer in food",2,FALSE
"Xanthan Gum","Microbial polysaccharide, used as a thickener and stabilizer in food and beverages",1,FALSE
"Guar Gum","Galactomannan polysaccharide, used as a thickener and stabilizer in food and beverages",1,FALSE
"Locust Bean Gum","Thickening and stabilizing agent derived from the seeds of the carob tree",1,FALSE
"Tara Gum","Polysaccharide derived from the seeds of the tara tree, used as a thickener and stabilizer",1,FALSE
"Mesquite Gum","Natural gum derived from the mesquite tree, used as a thickener and stabilizer in food and pharmaceuticals",1,FALSE
"Gum Arabic","Natural gum derived from the sap of the acacia tree, used as a thickener and stabilizer in food and pharmaceuticals",1,FALSE
"Gum Ghatti","Natural gum derived from the sap of the Indian tree Anogeissus latifolia, used as a thickener and stabilizer",1,FALSE
"Gum Tragacanth","Gum derived from the sap of the astragalus plant, used as a thickener and stabilizer in food and pharmaceuticals",1,FALSE
"Karaya Gum","Gum derived from the sap of the karaya tree, used as a thickener and stabilizer in food and pharmaceuticals",1,FALSE
"Furcellaran","Polysaccharide similar to carrageenan, derived from red seaweed, used as a gelling agent and stabilizer in foodproducts",2,FALSE
"Gellan Gum","Microbial polysaccharide, used as a gelling agent and stabilizer in food and beverages",1,FALSE
"Gelatin","Protein derived from collagen, used as a gelling agent in food and pharmaceuticals",2,FALSE
"Collagen","Structural protein found in connective tissues, used in food and supplements for its health benefits",1,FALSE
"Chitosan","Polysaccharide derived from chitin, used in dietary supplements and wound dressings",2,FALSE
"Chitin","Polysaccharide found in the exoskeletons of arthropods and cell walls of fungi, used in dietary supplements and biomedical applications",2,FALSE
"Casein","Protein found in milk and dairy products, used in food and supplements for its slow-digesting properties",2,TRUE
"Whey Protein","Protein derived from whey, a byproduct of cheese production, used in supplements and food products",1,FALSE
"Soy Protein","Protein derived from soybeans, used as a meat substitute and in dietary supplements",1,TRUE
"Pea Protein","Protein derived from yellow peas, used as a plant-based alternative to whey and soy protein",1,FALSE
"Rice Protein","Protein derived from rice, used as a plant-based alternative to whey and soy protein",1,FALSE
"Hemp Protein","Protein derived from hemp seeds, used as a plant-based alternative to whey and soy protein",1,FALSE
"Pumpkin Seed Protein","Protein derived from pumpkin seeds, used as a plant-based alternative to whey and soy protein",1,FALSE
"Sunflower Seed Protein","Protein derived from sunflower seeds, used as a plant-based alternative to whey and soy protein",1,FALSE
"Sacha Inchi Protein","Protein derived from sacha inchi seeds, used as a plant-based alternative to whey and soy protein",1,FALSE
"Potato Protein","Protein derived from potatoes, used as a plant-based alternative to whey and soy protein",1,FALSE
"Chia Seed Protein","Protein derived from chia seeds, used as a plant-based alternative to whey and soy protein",1,FALSE
"Flaxseed Protein","Protein derived from flaxseeds, used as a plant-based alternative to whey and soy protein",1,FALSE
"Canola Protein","Protein derived from canola seeds, used as a plant-based alternative to whey and soy protein",1,FALSE
"Rapeseed Protein","Protein derived from rapeseeds, used as a plant-based alternative to whey and soy protein",1,FALSE
"Sesame Seed Protein","Protein derived from sesame seeds, used as a plant-based alternative to whey and soy protein",1,FALSE
"Almond Protein","Protein derived from almonds, used as a plant-based alternative to whey and soy protein",1,FALSE
"Coconut Protein","Protein derived from coconuts, used as a plant-based alternative to whey and soy protein",1,FALSE
"Egg White Protein","Protein derived from egg whites, used as a supplement and ingredient in food products",2,TRUE
"Egg Yolk Protein","Protein derived from egg yolks, used as a supplement and ingredient in food products",2,TRUE
"Whole Egg Protein","Protein derived from whole eggs, used as a supplement and ingredient in food products",2,TRUE
"Yeast Extract","Concentrated source of amino acids and nucleotides derived from yeast, used as a flavor enhancer",1,FALSE
"Autolyzed Yeast Extract","Yeast extract produced by breaking down yeast cells, used as a flavor enhancer",1,FALSE
"Hydrolyzed Vegetable Protein","Vegetable protein broken down into amino acids, used as a flavor enhancer",2,FALSE
"Hydrolyzed Soy Protein","Soy protein broken down into amino acids, used as a flavor enhancer",2,FALSE
"Hydrolyzed Wheat Protein","Wheat protein broken down into amino acids, used as a flavor enhancer",2,TRUE
"Hydrolyzed Corn Protein","Corn protein broken down into amino acids, used as a flavor enhancer",1,FALSE
"Hydrolyzed Casein","Casein protein broken down into amino acids, used as a flavor enhancer",2,TRUE
"Hydrolyzed Gelatin","Gelatin broken down into amino acids, used as a flavor enhancer",1,FALSE
"Hydrolyzed Collagen","Collagen broken down into amino acids, used as a flavor enhancer",1,FALSE
"Hydrolyzed Keratin","Keratin protein broken down into amino acids, used in hair and skin care products",1,FALSE
"Sodium Caseinate","Sodium salt of casein, used as a food additive and in some dietary supplements",2,TRUE
"Calcium Caseinate","Calcium salt of casein, used as a food additive and in some dietary supplements",2,TRUE
"Potassium Caseinate","Potassium salt of casein, used as a food additive and in some dietary supplements",2,TRUE
"Ammonium Caseinate","Ammonium salt of casein, used as a food additive and in some dietary supplements",2,TRUE
"Sodium Lactate","Sodium salt of lactic acid, used as a preservative, flavoring agent, and humectant in food",2,FALSE
"Potassium Lactate","Potassium salt of lactic acid, used as a preservative and flavoring agent in food",2,FALSE
"Calcium Lactate","Calcium salt of lactic acid, used as a firming agent and flavor enhancer in food",2,FALSE
"Magnesium Lactate","Magnesium salt of lactic acid, used as a mineral supplement and food additive",1,FALSE
"Ferrous Lactate","Iron salt of lactic acid, used as a mineral supplement and food additive",1,FALSE
"Zinc Lactate","Zinc salt of lactic acid, used as a mineral supplement and food additive",1,FALSE
"Copper Lactate","Copper salt of lactic acid, used as a mineral supplement and food additive",1,FALSE
"Manganese Lactate","Manganese salt of lactic acid, used as a mineral supplement and food additive",1,FALSE
"Sodium Acetate","Sodium salt of acetic acid, used as a flavoring agent, preservative, and buffering agent in food",1,FALSE
"Potassium Acetate","Potassium salt of acetic acid, used as a flavoring agent, preservative, and buffering agent in food",1,FALSE
"Calcium Acetate","Calcium salt of acetic acid, used as a food additive and medication",1,FALSE
"Magnesium Acetate","Magnesium salt of acetic acid, used as a food additive and medication",1,FALSE
"Ammonium Acetate","Ammonium salt of acetic acid, used as a food additive and in some laboratory applications",1,FALSE
"Sodium Propionate","Sodiumsalt of propionic acid, used as a preservative in food and bakery products",2,FALSE
"Potassium Propionate","Potassium salt of propionic acid, used as a preservative in food and bakery products",2,FALSE
"Calcium Propionate","Calcium salt of propionic acid, used as a preservative in food and bakery products",2,FALSE
"Ammonium Propionate","Ammonium salt of propionic acid, used as a preservative in food and bakery products",2,FALSE
"Sodium Sorbate","Sodium salt of sorbic acid, used as a preservative in food and beverages",2,FALSE
"Potassium Sorbate","Potassium salt of sorbic acid, used as a preservative in food and beverages",2,FALSE
"Calcium Sorbate","Calcium salt of sorbic acid, used as a preservative in food and beverages",2,FALSE
"Ammonium Sorbate","Ammonium salt of sorbic acid, used as a preservative in food and beverages",2,FALSE
"Sodium Benzoate","Sodium salt of benzoic acid, used as a preservative in acidic food and beverages",2,FALSE
"Potassium Benzoate","Potassium salt of benzoic acid, used as a preservative in acidic food and beverages",2,FALSE
"Calcium Benzoate","Calcium salt of benzoic acid, used as a preservative in acidic food and beverages",2,FALSE
"Ammonium Benzoate","Ammonium salt of benzoic acid, used as a preservative in acidic food and beverages",2,FALSE
"Sodium Metabisulfite","Sodium salt of metabisulfurous acid, used as a preservative and antioxidant in food and beverages",3,FALSE
"Sodium Metabisulfite","Sodium salt of metabisulfurous acid, used as a preservative and antioxidant in food and beverages",3,FALSE
"Potassium Metabisulfite","Potassium salt of metabisulfurous acid, used as a preservative and antioxidant in food and beverages",3,FALSE
"Calcium Metabisulfite","Calcium salt of metabisulfurous acid, used as a preservative and antioxidant in food and beverages",3,FALSE
"Sodium Sulfite","Sodium salt of sulfurous acid, used as a preservative and antioxidant in food and beverages",3,FALSE
"Potassium Sulfite","Potassium salt of sulfurous acid, used as a preservative and antioxidant in food and beverages",3,FALSE
"Calcium Sulfite","Calcium salt of sulfurous acid, used as a preservative and antioxidant in food and beverages",3,FALSE
"Ammonium Sulfite","Ammonium salt of sulfurous acid, used as a preservative and antioxidant in food and beverages",3,FALSE
"Sodium Bisulfite","Sodium salt of bisulfurous acid, used as a preservative and antioxidant in food and beverages",3,FALSE
"Potassium Bisulfite","Potassium salt of bisulfurous acid, used as a preservative and antioxidant in food and beverages",3,FALSE
"Calcium Bisulfite","Calcium salt of bisulfurous acid, used as a preservative and antioxidant in food and beverages",3,FALSE
"Ammonium Bisulfite","Ammonium salt of bisulfurous acid, used as a preservative and antioxidant in food and beverages",3,FALSE
"Sodium Thiosulfate","Sodium salt of thiosulfuric acid, used in photography, water treatment, and as a medication",1,FALSE
"Potassium Thiosulfate","Potassium salt of thiosulfuric acid, used in photography, water treatment, and as a medication",1,FALSE
"Calcium Thiosulfate","Calcium salt of thiosulfuric acid, used in photography, water treatment, and as a medication",1,FALSE
"Ammonium Thiosulfate","Ammonium salt of thiosulfuric acid, used in photography, water treatment, and as a medication",1,FALSE
"Sodium Bisulfate","Sodium salt of bisulfuric acid, used in metal finishing, water treatment, and as a detergent",2,FALSE
"Potassium Bisulfate","Potassium salt of bisulfuric acid, used in metal finishing, water treatment, and as a detergent",2,FALSE
"Calcium Bisulfate","Calcium salt of bisulfuric acid, used in metal finishing, water treatment, and as a detergent",2,FALSE
"Ammonium Bisulfate","Ammonium salt of bisulfuric acid, used in metal finishing, water treatment, and as a detergent",2,FALSE
"Sodium Hypochlorite","Sodium salt of hypochlorous acid, used as a disinfectant, bleaching agent, and water treatment chemical",3,FALSE
"Potassium Hypochlorite","Potassium salt of hypochlorous acid, used as a disinfectant, bleaching agent, and water treatment chemical",3,FALSE
"Calcium Hypochlorite","Calcium salt of hypochlorous acid, used as a disinfectant, bleaching agent, and water treatment chemical",3,FALSE
"Ammonium Hypochlorite","Ammonium salt of hypochlorous acid, used as a disinfectant, bleaching agent, and water treatment chemical",3,FALSE
"Sodium Chlorite","Sodium salt of chlorous acid, used in bleaching, water treatment, and as a disinfectant",3,FALSE
"Potassium Chlorite","Potassium salt of chlorous acid, used in bleaching, water treatment, and as a disinfectant",3,FALSE
"Calcium Chlorite","Calcium salt of chlorous acid, used in bleaching, water treatment, and as a disinfectant",3,FALSE
"Ammonium Chlorite","Ammonium salt of chlorous acid, used in bleaching, water treatment, and as a disinfectant",3,FALSE
"Sodium Chlorate","Sodium salt of chloric acid, used as a herbicide and in the production of chlorine dioxide",4,FALSE
"Potassium Chlorate","Potassium salt of chloric acid, used as a herbicide and in the production of chlorine dioxide",4,FALSE
"Calcium Chlorate","Calcium salt of chloric acid, used as a herbicide and in the production of chlorine dioxide",4,FALSE
"Ammonium Chlorate","Ammonium salt of chloric acid, used as a herbicide and in the production of chlorine dioxide",4,FALSE
"Sodium Perchlorate","Sodium salt of perchloric acid, used in rocket fuel, explosives, and fireworks",4,FALSE
"Potassium Perchlorate","Potassium salt of perchloric acid, used in rocket fuel, explosives, and fireworks",4,FALSE
"Calcium Perchlorate","Calcium salt of perchloric acid, used in rocket fuel, explosives, and fireworks",4,FALSE
"Ammonium Perchlorate","Ammonium salt of perchloric acid, used in rocket fuel, explosives, and fireworks",4,FALSE
"Sodium Bromide","Sodium salt of hydrobromic acid, used in photography and as a flame retardant",2,FALSE
"Potassium Bromide","Potassium salt of hydrobromic acid, used in photography and as a flame retardant",2,FALSE
"Calcium Bromide","Calcium salt of hydrobromic acid, used in photography and as a flame retardant",2,FALSE
"Ammonium Bromide","Ammonium salt of hydrobromic acid, used in photography and as a flame retardant",2,FALSE
"Sodium Iodide","Sodium salt of hydroiodic acid, used in pharmaceuticals, photography, and as a nutritional supplement",2,FALSE
"Potassium Iodide","Potassium salt of hydroiodic acid, used in pharmaceuticals, photography, and as a nutritional supplement",2,FALSE
"Calcium Iodide","Calcium salt of hydroiodic acid, used in pharmaceuticals, photography, and as a nutritional supplement",2,FALSE
"Ammonium Iodide","Ammonium salt of hydroiodic acid, used in pharmaceuticals, photography, and as a nutritional supplement",2,FALSE
"Sodium Fluoride","Sodium salt of hydrofluoric acid, used in toothpaste, water fluoridation, and as a pesticide",2,FALSE
"Potassium Fluoride","Potassium salt of hydrofluoric acid, used in toothpaste, water fluoridation, and as a pesticide",2,FALSE
"Calcium Fluoride","Calcium salt of hydrofluoric acid, used in toothpaste, water fluoridation, andas a pesticide",2,FALSE
"Ammonium Fluoride","Ammonium salt of hydrofluoric acid, used in toothpaste, water fluoridation, and as a pesticide",2,FALSE
"Sodium Nitrate","Sodium salt of nitric acid, used as a preservative, color fixative, and fertilizer",3,FALSE
"Potassium Nitrate","Potassium salt of nitric acid, used as a preservative, color fixative, and fertilizer",3,FALSE
"Calcium Nitrate","Calcium salt of nitric acid, used as a fertilizer and in wastewater treatment",3,FALSE
"Ammonium Nitrate","Ammonium salt of nitric acid, used as a fertilizer, explosive, and in cold packs",3,FALSE
"Sodium Phosphate","Sodium salt of phosphoric acid, used as a food additive, detergent, and in water treatment",2,FALSE
"Potassium Phosphate","Potassium salt of phosphoric acid, used as a food additive, fertilizer, and in pharmaceuticals",2,FALSE
"Calcium Phosphate","Calcium salt of phosphoric acid, used as a food additive, dietary supplement, and in toothpaste",2,FALSE
"Ammonium Phosphate","Ammonium salt of phosphoric acid, used as a fertilizer, flame retardant, and in yeast nutrients",2,FALSE
"Magnesium Phosphate","Magnesium salt of phosphoric acid, used as a dietary supplement and in pharmaceuticals",2,FALSE
"Aluminum Phosphate","Aluminum salt of phosphoric acid, used as a leavening agent in baking and in antacids",2,FALSE
"Iron Phosphate","Iron salt of phosphoric acid, used as a dietary supplement and in fortification of food products",2,FALSE
"Zinc Phosphate","Zinc salt of phosphoric acid, used as a corrosion inhibitor and in dental cement",2,FALSE
"Copper Phosphate","Copper salt of phosphoric acid, used as a pigment in ceramics and glass",2,FALSE
"Sodium Pyrophosphate","Sodium salt of pyrophosphoric acid, used as a buffering agent and emulsifier in food",2,FALSE
"Potassium Pyrophosphate","Potassium salt of pyrophosphoric acid, used as a buffering agent in food and in detergents",2,FALSE
"Calcium Pyrophosphate","Calcium salt of pyrophosphoric acid, used as a dietary supplement and in dental care",2,FALSE
"Ammonium Pyrophosphate","Ammonium salt of pyrophosphoric acid, used as a leavening agent in baking",2,FALSE
"Magnesium Pyrophosphate","Magnesium salt of pyrophosphoric acid, used as a dietary supplement and in toothpaste",2,FALSE
"Aluminum Pyrophosphate","Aluminum salt of pyrophosphoric acid, used in baking powder and in dental cements",2,FALSE
"Iron Pyrophosphate","Iron salt of pyrophosphoric acid, used as a dietary supplement and in food fortification",2,FALSE
"Zinc Pyrophosphate","Zinc salt of pyrophosphoric acid, used as a dental cement and in corrosion inhibition",2,FALSE
"Copper Pyrophosphate","Copper salt of pyrophosphoric acid, used in ceramics and as a pigment",2,FALSE
"Sodium Triphosphate","Sodium salt of triphosphoric acid, used as a cleaning agent, water softener, and food additive",3,FALSE
"Potassium Triphosphate","Potassium salt of triphosphoric acid, used as a food additive and emulsifier",3,FALSE
"Calcium Triphosphate","Calcium salt of triphosphoric acid, used as a dietary supplement and in toothpaste",3,FALSE
"Ammonium Triphosphate","Ammonium salt of triphosphoric acid, used as a fire retardant and in fertilizers",3,FALSE
"Magnesium Triphosphate","Magnesium salt of triphosphoric acid, used as a dietary supplement and in pharmaceuticals",3,FALSE
"Aluminum Triphosphate","Aluminum salt of triphosphoric acid, used as a bonding agent in refractory materials",3,FALSE
"Iron Triphosphate","Iron salt of triphosphoric acid, used as a dietary supplement and in food fortification",3,FALSE
"Zinc Triphosphate","Zinc salt of triphosphoric acid, used in corrosion protection and as a pigment",3,FALSE
"Copper Triphosphate","Copper salt of triphosphoric acid, used in ceramics and as a pigment",3,FALSE
"Sodium Hexametaphosphate","Sodium salt of hexametaphosphoric acid, used as a sequestrant and emulsifier in food",3,FALSE
"Potassium Hexametaphosphate","Potassium salt of hexametaphosphoric acid, used as a sequestrant in food",3,FALSE
"Calcium Hexametaphosphate","Calcium salt of hexametaphosphoric acid, used as a sequestrant in food",3,FALSE
"Ammonium Hexametaphosphate","Ammonium salt of hexametaphosphoric acid, used as a sequestrant in food",3,FALSE
"Magnesium Hexametaphosphate","Magnesium salt of hexametaphosphoric acid, used as a sequestrant in food",3,FALSE
"Aluminum Hexametaphosphate","Aluminum salt of hexametaphosphoric acid, used in water treatment and detergents",3,FALSE
"Iron Hexametaphosphate","Iron salt of hexametaphosphoric acid, used as a sequestrant in food and water treatment",3,FALSE
"Zinc Hexametaphosphate","Zinc salt of hexametaphosphoric acid, used as a sequestrant and corrosion inhibitor",3,FALSE
"Copper Hexametaphosphate","Copper salt of hexametaphosphoric acid, used in water treatment and ceramics",3,FALSE
"Sodium Tetraphosphate","Sodium salt of tetraphosphoric acid, used as a sequestrant and emulsifier in food",3,FALSE
"Potassium Tetraphosphate","Potassium salt of tetraphosphoric acid, used as a sequestrant in food",3,FALSE
"Calcium Tetraphosphate","Calcium salt of tetraphosphoric acid, used as a sequestrant in food",3,FALSE
"Ammonium Tetraphosphate","Ammonium salt of tetraphosphoric acid, used as a sequestrant in food",3,FALSE
"Magnesium Tetraphosphate","Magnesium salt of tetraphosphoric acid, used as a sequestrant in food",3,FALSE
"Aluminum Tetraphosphate","Aluminum salt of tetraphosphoric acid, used in water treatment and detergents",3,FALSE
"Iron Tetraphosphate","Iron salt of tetraphosphoric acid, used as a sequestrant in food and water treatment",3,FALSE
"Zinc Tetraphosphate","Zinc salt of tetraphosphoric acid, used as a sequestrant and corrosion inhibitor",3,FALSE
"Copper Tetraphosphate","Copper salt of tetraphosphoric acid, used in water treatment and ceramics",3,FALSE
"Sodium Trimetaphosphate","Sodium salt of trimetaphosphoric acid, used as a sequestrant and emulsifier in food",3,FALSE
"Potassium Trimetaphosphate","Potassium salt of trimetaphosphoric acid, used as a sequestrant in food",3,FALSE
"Calcium Trimetaphosphate","Calcium salt of trimetaphosphoric acid, used as a sequestrant in food",3,FALSE
"Ammonium Trimetaphosphate","Ammonium salt of trimetaphosphoric acid, used as a sequestrant in food",3,FALSE
"Magnesium Trimetaphosphate","Magnesium salt of trimetaphosphoric acid, used as a sequestrant in food",3,FALSE
"Aluminum Trimetaphosphate","Aluminum salt of trimetaphosphoric acid, used in water treatment and detergents",3,FALSE
"Iron Trimetaphosphate","Iron salt of trimetaphosphoric acid, used as a sequestrant in food and water treatment",3,FALSE
"Zinc Trimetaphosphate","Zinc salt of trimetaphosphoric acid, used as a sequestrant and corrosion inhibitor",3,FALSE
"Copper Trimetaphosphate","Copper salt of trimetaphosphoric acid, used in water treatment and ceramics",3,FALSE
"Sodium Diacetate","Sodium salt of acetic acid, used as a food preservative and flavor enhancer",2,FALSE
"Potassium Diacetate","Potassium salt of acetic acid, used as a food preservative and flavor enhancer",2,FALSE
"Calcium Diacetate","Calcium salt of acetic acid, used as a food preservative and mold inhibitor",2,FALSE
"Ammonium Diacetate","Ammonium salt of acetic acid, used as a food preservative and acidulant",2,FALSE
"Magnesium Diacetate","Magnesium salt of acetic acid, used as a food preservative and acidity regulator",2,FALSE
"Aluminum Diacetate","Aluminum salt of acetic acid, used as a food preservative and acidity regulator",2,FALSE
"Iron Diacetate","Iron salt of acetic acid, used as a food preservative and color stabilizer",2,FALSE
"Zinc Diacetate","Zinc salt of acetic acid, used as a food preservative and antimicrobial agent",2,FALSE
"Copper Diacetate","Copper salt of acetic acid, used as a food preservative and coloring agent",2,FALSE
"Sodium Lactate","Sodium salt of lactic acid, used as a preservative, flavor enhancer, and humectant",2,FALSE
"Potassium Lactate","Potassium salt of lactic acid, used as a preservative, flavor enhancer, and humectant",2,FALSE
"Calcium Lactate","Calcium salt of lactic acid, used as a firming agent, humectant, and calcium supplement",2,FALSE
"Ammonium Lactate","Ammonium salt of lactic acid, used as a moisturizer in cosmetics and dermatological creams",2,FALSE
"Magnesium Lactate","Magnesium salt of lactic acid, used as a dietary supplement and in pharmaceuticals",2,FALSE
"Aluminum Lactate","Aluminum salt of lactic acid, used in antiperspirants and as an astringent in cosmetics",2,FALSE
"Iron Lactate","Iron salt of lactic acid, used as a dietary supplement and in pharmaceuticals",2,FALSE
"Zinc Lactate","Zinc salt of lactic acid, used as a dietary supplement and in dental care products",2,FALSE
"Copper Lactate","Copper salt of lactic acid, used as a dietary supplement and in nutritional formulations",2,FALSE
"Sodium Acetate","Sodium salt of acetic acid, used as a flavoring agent, buffering agent, and pickling agent",2,FALSE
"Potassium Acetate","Potassium salt of acetic acid, used as a preservative and flavoring agent in food",2,FALSE
"Calcium Acetate","Calcium salt of acetic acid, used as a food additive, firming agent, and sequestrant",2,FALSE
"Ammonium Acetate","Ammonium salt of acetic acid, used in the manufacture of chemicals and as a buffer",2,FALSE
"Magnesium Acetate","Magnesium salt of acetic acid, used as a dietary supplement and medication",2,FALSE
"Aluminum Acetate","Aluminum salt of acetic acid, used in dermatological treatments and as an astringent in cosmetics",2,FALSE
"Iron Acetate","Iron salt of acetic acid, used in the treatment of iron deficiency anemia",2,FALSE
"Zinc Acetate","Zinc salt of acetic acid, used in the treatment of diaper rash and skin irritation",2,FALSE
"Copper Acetate","Copper salt of acetic acid, used in the manufacture of dyes, pigments, and fungicides",2,FALSE
"Sodium Propionate","Sodium salt of propionic acid, used as a preservative in bread and other baked goods",2,FALSE
"Potassium Propionate","Potassium salt of propionic acid, used as a preservative in food and animal feed",2,FALSE
"Calcium Propionate","Calcium salt of propionic acid, used as a preservative in bread and bakery products",2,FALSE
"Ammonium Propionate","Ammonium salt of propionic acid, used as a preservative in food and animal feed",2,FALSE
"Magnesium Propionate","Magnesium salt of propionic acid, used as a preservative in food and pharmaceuticals",2,FALSE
"Aluminum Propionate","Aluminum salt of propionic acid, used in the treatment of skin conditions and allergies",2,FALSE
"Iron Propionate","Iron salt of propionic acid, used as a dietary supplement and in the treatment of anemia",2,FALSE
"Zinc Propionate","Zinc salt of propionic acid, used as a preservative in food and as a dietary supplement",2,FALSE
"Copper Propionate","Copper salt of propionic acid, used in the synthesis of pharmaceuticals and agricultural chemicals",2,FALSE
"Sodium Benzoate","Sodium salt of benzoic acid, used as a preservative in acidic food and beverage products",2,FALSE
"Potassium Benzoate","Potassium salt of benzoic acid, used as a preservative in acidic food and beverage products",2,FALSE
"Calcium Benzoate","Calcium salt of benzoic acid, used as a preservative in acidic food and beverage products",2,FALSE
"Ammonium Benzoate","Ammonium salt of benzoic acid, used as a preservative in acidic food and beverage products",2,FALSE
"Magnesium Benzoate","Magnesium salt of benzoic acid, used as a preservative in acidic food and beverage products",2,FALSE
"Magnesium Benzoate","Magnesium salt of benzoic acid, used as a preservative in acidic food and beverage products",2,FALSE
"Aluminum Benzoate","Aluminum salt of benzoic acid, possibly used as a preservative or additive in certain products",3,FALSE
"Iron Benzoate","Iron salt of benzoic acid, used in various industrial applications and may be used as a food additive",2,FALSE
"Zinc Benzoate","Zinc salt of benzoic acid, used as a food additive and preservative in some products",2,FALSE
"Copper Benzoate","Copper salt of benzoic acid, used in industrial applications and as a food additive in some cases",3,FALSE
"Sodium Sorbate","Sodium salt of sorbic acid, commonly used as a preservative in food and beverage products",1,FALSE
"Potassium Sorbate","Potassium salt of sorbic acid, widely used as a preservative in food and cosmetic products",1,FALSE
"Calcium Sorbate","Calcium salt of sorbic acid, utilized as a preservative in food and personal care products",1,FALSE
"Ammonium Sorbate","Ammonium salt of sorbic acid, used as a preservative in food and beverage items",2,FALSE
"Magnesium Sorbate","Magnesium salt of sorbic acid, employed as a preservative in food and cosmetic formulations",2,FALSE
"Aluminum Sorbate","Aluminum salt of sorbic acid, possibly used as a preservative or additive in certain products",3,FALSE
"Calcium Thiosulfate","Calcium salt of thiosulfuric acid, used in agriculture as a fertilizer additive and in certain industrial processes",2,FALSE
"Ammonium Thiosulfate","Ammonium salt of thiosulfuric acid, primarily used in agriculture as a nitrogen fertilizer",2,FALSE
"Magnesium Thiosulfate","Magnesium salt of thiosulfuric acid, used in agriculture as a source of magnesium and sulfur for plants",2,FALSE
"Aluminum Thiosulfate","Aluminum salt of thiosulfuric acid, used in some industrial processes and as a chemical reagent",3,FALSE
"Iron Thiosulfate","Iron salt of thiosulfuric acid, utilized in chemical synthesis and as a reagent in certain applications",2,FALSE
"Zinc Thiosulfate","Zinc salt of thiosulfuric acid, used in agriculture as a fertilizer additive and in some industrial processes",2,FALSE
"Copper Thiosulfate","Copper salt of thiosulfuric acid, employed in agriculture as a fungicide and in chemical synthesis",2,FALSE
"Sodium Bisulfate","Sodium salt of bisulfuric acid, used as a pH adjuster, cleaning agent, and in water treatment processes",2,FALSE
"Potassium Bisulfate","Potassium salt of bisulfuric acid, utilized in various industrial processes and as a food additive",2,FALSE
"Calcium Bisulfate","Calcium salt of bisulfuric acid, used in water treatment and as a pH adjuster in certain applications",2,FALSE
"Ammonium Bisulfate","Ammonium salt of bisulfuric acid, used in agriculture as a nitrogen fertilizer and in chemical synthesis",2,FALSE
"Magnesium Bisulfate","Magnesium salt of bisulfuric acid, employed in agriculture and industrial processes for various purposes",2,FALSE
"Aluminum Bisulfate","Aluminum salt of bisulfuric acid, used in water treatment and as a catalyst in various industrial processes",2,FALSE
"Iron Bisulfate","Iron salt of bisulfuric acid, used in water treatment, textile dyeing, and other industrial applications",2,FALSE
"Zinc Bisulfate","Zinc salt of bisulfuric acid, employed in water treatment and as a chemical reagent in various industries",2,FALSE
"Copper Bisulfate","Copper salt of bisulfuric acid, used as a fungicide, herbicide, and pesticide in agriculture",3,FALSE
"Sodium Hypochlorite","Sodium salt of hypochlorous acid, commonly known as bleach, used as a disinfectant and bleach agent",3,FALSE
"Potassium Hypochlorite","Potassium salt of hypochlorous acid, used similarly to sodium hypochlorite as a disinfectant and bleach",3,FALSE
"Calcium Hypochlorite","Calcium salt of hypochlorous acid, utilized as a disinfectant, bleaching agent, and water treatment chemical",3,FALSE
"Ammonium Hypochlorite","Ammonium salt of hypochlorous acid, used as a disinfectant and bleach agent in certain industrial applications",3,FALSE
"Magnesium Hypochlorite","Magnesium salt of hypochlorous acid, used in water treatment and as a bleaching agent in some industries",3,FALSE
"Aluminum Hypochlorite","Aluminum salt of hypochlorous acid, used in water treatment and as a disinfectant in certain applications",3,FALSE
"Iron Hypochlorite","Iron salt of hypochlorous acid, utilized in water treatment and as a bleaching agent in textile and paper industries",3,FALSE
"Zinc Hypochlorite","Zinc salt of hypochlorous acid, used in water treatment and as a disinfectant in various industrial applications",3,FALSE
"Copper Hypochlorite","Copper salt of hypochlorous acid, employed as a disinfectant and algaecide in water treatment",3,FALSE\
"Sodium Chlorite","Sodium salt of chlorous acid, used as a disinfectant, bleaching agent, and in water purification processes",3,FALSE
"Potassium Chlorite","Potassium salt of chlorous acid, used in water treatment and as a bleaching agent in some industries",3,FALSE
"Calcium Chlorite","Calcium salt of chlorous acid, utilized in water treatment and as a disinfectant in certain applications",3,FALSE
"Ammonium Chlorite","Ammonium salt of chlorous acid, used in some industrial processes and as a disinfectant",3,FALSE
"Magnesium Chlorite","Magnesium salt of chlorous acid, employed in water treatment and as a bleaching agent in certain industries",3,FALSE
"Aluminum Chlorite","Aluminum salt of chlorous acid, used in water treatment and as a disinfectant in specific applications",3,FALSE
"Iron Chlorite","Iron salt of chlorous acid, utilized in water treatment and as a disinfectant in certain industrial processes",3,FALSE
